,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall
NumDealsPurchases,-0.1324266057252855,0.2264338014004641,0.3943406572108298,0.00047919319269122625,0.011858138350323939,-0.136350119599443,-0.16552169581905357,-0.14502997606349352,-0.12227910805098673,0.056926086522030246,1.0,0.25250180958070595,-0.05862485720350473,0.0727099346632797,0.36354501326506933,-0.022882481803478426,0.01722121195233597,-0.18697465131585075,-0.12953786453182853,-0.03851321667139271,0.004141764832709052,,,0.004690737543860919,0.07200511781512528,0.22109266161381363,0.024215310451552303,0.01585527959229939,-0.045480205521841635,0.006691594751693328,0.003696819732050182,-0.007602168625528037,-0.04386706056828893,-0.0020890502662628788,0.02663467557885687,0.00026722877022129044,-0.08759855948009576,-0.09640994691712469,-0.12696232212058556
NumWebPurchases,0.5031842017362951,-0.3755902140017986,0.16122895892172445,-0.005104469232032082,0.5523420869285405,0.30081320041741655,0.32945315981810225,0.2977758808260468,0.3320569860442752,0.4059609804367378,0.25250180958070595,1.0,0.4208896004331611,0.5121086363711057,-0.06144992032312159,0.04154000831437922,0.16198725158671953,0.14063176498101962,0.15844628912295233,0.034301096516950236,-0.014006954315459631,,,0.14969941477700352,0.16183864199968434,0.19290235971100955,0.029732708019997257,-0.0003336935335014416,-0.043073343304505164,0.005234377186853238,0.03574273773515024,-0.03589915192003402,-0.12804933030560398,0.008598355117265399,-0.00921613584690124,0.07091794383513353,0.5210859914077379,0.5039472057051052,0.19524849794331073
NumCatalogPurchases,0.7100565341470728,-0.51981329033197,-0.11401850385887084,0.029749555957529178,0.6732337937005709,0.5136862515030931,0.7143823190415901,0.5631735086466326,0.5243692499632703,0.4710315149765029,-0.05862485720350473,0.4208896004331611,1.0,0.5612613362819889,-0.530622915207433,0.11200712540054371,0.1495937979407063,0.33960330729198324,0.3264374633980273,0.10582993146839241,-0.018647308071112426,,,0.23452396069603867,0.1407240651738308,0.0968627085860887,0.005604584519455949,-0.018343534060525125,-0.0011150971476413748,-0.0009487030157695096,0.044383324519661274,-0.030490293003520356,-0.1225344530228772,0.02681772926024312,-0.014803832160830572,0.04798902962734915,0.7911868933870218,0.7787424253149405,0.36645949344697365
NumStorePurchases,0.6872057162979314,-0.5065431681338818,0.04732114813553774,0.0004621200343513523,0.6393728229416173,0.4590559549775165,0.5172449259118334,0.456896163211653,0.45413335065381166,0.3885751892246718,0.0727099346632797,0.5121086363711057,0.5612613362819889,1.0,-0.44935573235036197,-0.07125883633223752,0.17701864778821677,0.21374241556929982,0.17788728276695048,0.08490467452163405,-0.012503751227229168,,,0.033508605170110596,0.13861357582460235,0.11205717091726748,0.003925981347202804,0.011105076916030495,-0.02339802573023855,-0.006013908959242236,0.030994338652257175,-0.02205911790076671,-0.14527768868316,0.009614145860773983,0.010634783936353606,0.04862624027033556,0.6778928365580944,0.6686321892974681,0.2012542061561348
NumWebVisitsMonth,-0.6483062734574417,0.4484971765578219,0.12936493965845774,-0.01790575857681483,-0.32939473769687105,-0.4244634224295832,-0.5433874196268949,-0.45335311256957517,-0.4293754168922413,-0.2530218745578565,0.36354501326506933,-0.06144992032312159,-0.530622915207433,-0.44935573235036197,1.0,0.059675351643841495,-0.030988800088267654,-0.2797588015915986,-0.19819684476630542,-0.008288523447869607,0.02034155277367785,,,-0.005358181179287036,-0.12271267373807597,0.27765634627423746,0.024902343719056554,0.012436976725242846,-0.011288822272403427,-0.0074756401645809534,-0.0315355447921043,0.01727789719208276,0.10068841070779973,-0.01843399721604195,-0.02209993357609087,-0.0074889258919662565,-0.5016390492552696,-0.4980110529407557,-0.1689143125489763
AcceptedCmp3,-0.011180864623024927,0.015897070886538984,-0.0432229786713024,-0.03232740246517677,0.060699842579473764,0.01413144808351832,0.021224280211550154,-0.0008317886611767769,0.0010993038506540976,0.1249840073138278,-0.022882481803478426,0.04154000831437922,0.11200712540054371,-0.07125883633223752,0.059675351643841495,1.0,-0.08008779837176275,0.08060499102573267,0.09535022600558529,0.07155412165159564,0.009535323918791628,,,0.253575817550467,-0.06140484210489974,-0.00795197346861389,0.01699935018532458,-0.00046313074835872635,0.015739294204497722,-0.019771199730313622,-0.015374767172508505,0.0022024424223614503,0.022520024363443785,-0.014824670977721824,-0.013576701090603523,0.02027564119718541,0.04457079681520828,0.034673401504549804,0.43113697793335887
AcceptedCmp4,0.23326691512190817,-0.1625967026630407,0.03786040808866102,0.01765837606390931,0.3730625502452904,0.006078480093493626,0.09679840386799748,0.015512849729611033,0.028664534940752943,0.02361302605114523,0.01722121195233597,0.16198725158671953,0.1495937979407063,0.17701864778821677,-0.030988800088267654,-0.08008779837176275,1.0,0.3124239023831087,0.24250250166339637,0.29495324914462256,-0.0271200008523618,,,0.17972732563750565,0.06990310704639453,0.01572271202867305,0.005052139476428345,-0.005384258475865772,-0.01459847932845543,-0.0009715325430974332,0.041190718868437406,-0.03462186612404149,-0.04491352032019876,-0.013070959643116074,0.018282969180951316,0.040317332266244114,0.2591582572832951,0.2672887842651705,0.6121006925218548
AcceptedCmp5,0.4163859276005816,-0.20512367786824987,-0.19076044715319515,0.00033384883679170877,0.4727289575438082,0.20861544171524862,0.38927614446107783,0.1943871733310992,0.2580529217020371,0.17611781142835134,-0.18697465131585075,0.14063176498101962,0.33960330729198324,0.21374241556929982,-0.2797588015915986,0.08060499102573267,0.3124239023831087,1.0,0.40928252413710436,0.22284661742559672,-0.008463927604723132,,,0.3246481844332785,-0.019275230001078673,-0.00455048530238869,-0.021635408200979596,0.013041571732760314,-0.011975435106729158,0.006086830737682425,0.013863287488766125,-0.027177248327397745,-0.04446816075608944,0.016503018950348575,0.001982525176211661,0.013746577316497704,0.4755592485955916,0.4780748792098376,0.7195601411786486
AcceptedCmp1,0.3452420616978149,-0.1747408383925303,-0.14574769513296415,-0.021096837554241302,0.3513455961800849,0.1920614304527267,0.32530623473747095,0.26138904325276663,0.24477115367156532,0.17037978525068181,-0.12953786453182853,0.15844628912295233,0.3264374633980273,0.17788728276695048,-0.19819684476630542,0.09535022600558529,0.24250250166339637,0.40928252413710436,1.0,0.17652034509222603,-0.02510058453865737,,,0.29697753413849914,0.011747496958038294,-0.04019652469391724,-0.01699614530447782,0.026561533938264104,0.0012637662571117457,-0.019344479476158714,0.0010702063117656166,0.00807167874190489,-0.04156915849166267,0.030759412754055426,-0.027079303223772912,-0.0029367738283327368,0.38452615810313634,0.3839470247033197,0.677609509430403
AcceptedCmp2,0.11020953315720858,-0.08212403702522066,-0.0158048804610544,-0.0013902334321933142,0.20623078746459772,-0.010146893934956209,0.045841628203351026,0.002093104237450832,0.00991522221953243,0.0507310188592308,-0.03851321667139271,0.034301096516950236,0.10582993146839241,0.08490467452163405,-0.008288523447869607,0.07155412165159564,0.29495324914462256,0.22284661742559672,0.17652034509222603,1.0,-0.011236221034765797,,,0.1691283540868421,0.007736930432584599,0.006020515094255684,0.023959967624838336,-0.03712052975288404,-0.014164917756828417,0.03824389676775564,-0.0007299218738692249,-0.009501559481015012,-0.018608341663206403,0.006711392601473894,-0.03113243890390495,0.033529709273221416,0.1383903297633428,0.13917098724023244,0.4604888864577964
